cough	B
chest	B
pain	E
fever	B
dyspnea	B
43	O
years	O
old	O
male	O
develop	O
sputum	O
product	O
and	O
NP	O
swab	O
Negative	O
at	O
first	O
patient	O
then	O
deterioration	O
in	O
symptoms	O
with	O
myalger	O
dry	O
CT	O
mild	O
spo299	O
Conscious	O
oriented	O
low	O
grade	O
no	O
diarrhea	O
good	O
urine	O
output	O
temp387	O
BP	O
13080	O
CRPVE	O
SUrea	O
20	O
DDimer	O
80	O
Sferritin	O
24low1	O
Pneumonia	O
due	O
to	O
covid19	O
DMHX	O
shortness	B
of	I
breath	E



shortness	B
of	I
breath	E
spo298	O
on	O
o2	O
PR105	O
chest	B
pain	E
Conscious	O
oriented	O
afebrile	O
soft	O
abdominal	O
clean	O
CRP	O
ve	O
Bp11080	O
airTempr375	O
WBC	O
627	O
NEU	O
367	O
LYM	O
216	O
MONO	O
234	O
EOS	O
015	O
BASO	O
188	O
RBC	O
432	O
HGB	O
106	O
HCT	O
322	O
MCV	O
746	O
MCH	O
244	O
MCHC	O
327	O
RDW	O
206	O
PLT	O
394	O
MPV	O
461	O
low1	O
Pneumonia	O
due	O
to	O
covid19	O


dyspnea	B
spo293	O
PR91	O
Conscious	O
oriented	O
on	O
exercise	O
good	O
appetite	O
afebrile	O
urine	O
output	O
low1	O
Pneumonia	O
due	O
to	O
covid19	O
shortness	B
of	I
breath	E



sore	B
throat	E
spo295	O
PR96	O
much	O
better	O
Conscious	O
oriented	O
no	O
diarrhea	O
cough	O
fatigue	O
vomit	O
afebrile	O
good	O
appetite	O
dyspnea	O
well1	O
respiratory	O
failure	O
caused	O
by	O
the	O
covid19	O
shortness	B
of	I
breath	E
chest	B
pain	E




dyspnea	B
32	O
years	O
Sex	O
male	O
spo298	O
PR	O
66	O
Conscious	O
oriented	O
high	O
pitch	O
sound	O
temp364	O
BP	O
13080	O
PRS224	O
ECHO	O
LVH	O
GOOD	O
LV	O
RV	O
PCR	O
positive	O
mod1HTN	O
DM	O
oral	O
Stroke	O
chest	B
pain	E



cough	B
dyspnea	B
spo298	O
with	O
O2PR	O
74	O
Conscious	O
oriented	O
dry	O
RBS312	O
BP	O
13080	O
mod1	O


dyspnea	B
spo293	O
with	O
O2	O
PR	O
65	O
Conscious	O
oriented	O
high	O
pitch	O
sound	O
temp364	O
c	O
BP	O
13080	O
PRS224	O
mod1	O


dyspnea	B
EF	O
70	O
LVH	O
MIH	O
NO	O
MR	O
OR	O
AR	O
PE	O
RMAL	O
RV	O
TAPSE	O
18	O
PHT	O
RWMA	O
spo298	O
with	O
o2	O
and	O
CPAP	O
PR	O
86	O
sleeping	O
afebrilemod1	O
shortness	B
of	I
breath	E
chest	B
pain	E




spo294	O
without	O
o2	O
and	O
CPAP	O
PR	O
82	O
Conscious	O
oriented	O
afebrile	O
myalgia	O
much	O
better	O
well1	O


cough	B
fever	B
dyspnea	B
burning	B
throat	E
45	O
years	O
Sex	O
male	O
for	O
9	O
days	O
and	O
toxic	O
spo294	O
Conscious	O
oriented	O
vitally	O
stable	O
febrile	O
good	O
urine	O
output	O
BP11070	O
temp	O
36	O
EXP	O
HIGH70140	O
CRP	O
positive	O
BloodGlucoseF	O
2370	O
SUrea372	O
screatinine	O
07	O
WBC	O
490	O
NEU	O
335	O
LYM	O
220	O
MONO	O
291	O
EOS	O
003	O
BASO	O
044	O
RBC	O
487	O
HGB	O
139	O
HCT	O
423	O
MCV	O
868	O
MCH	O
286	O
MCHC	O
329	O
RDW	O
172	O
PLT	O
177	O
MPV	O
108	O
low1	O
shortness	B
of	I
breath	E



cough	B
fatigue	B
dyspnea	B
spo292	O
with	O
O2	O
PR	O
81	O
Conscious	O
oriented	O
low	O
good	O
urine	O
output	O
SGluC	O
353	O
BP11030	O
RBS	O
351	O
TEMP	O
36	O
low1	O
shortness	B
of	I
breath	E


chest	B
pain	E
fatigue	B
dyspnea	B
spo296	O
with	O
O2	O
PR	O
81	O
Conscious	O
oriented	O
afebrile	O
vitally	O
stable	O
BGlucoseR217	O
SUrea44	O
WBC	O
963	O
NEU	O
698	O
LYM	O
235	O
MONO	O
156	O
EOS	O
002	O
BASO	O
141	O
RBC	O
516	O
HGB	O
150	O
HCT	O
423	O
MCV	O
820	O
MCH	O
290	O
MCHC	O
354	O
RDW	O
210	O
PLT	O
131	O
MPV	O
356	O
low1	O


fever	B
dyspnea	B
spo290	O
PR	O
93	O
Conscious	O
oriented	O
night	O
good	O
urine	O
output	O
BloodGlucoseF237	O
SUrea372	O
screatinine07	O
ALT14	O
SAST	O
13	O
STBili	O
06	O
CRP	O
POSITIVE	O
SGluC	O
373	O
SUrea	O
29	O
SCI	O
100	O
SK	O
46	O
SNa	O
134	O
low1	O
shortness	B
of	I
breath	E
chest	B
pain	E


cough	B
spo299	O
on	O
room	O
PR	O
85	O
Conscious	O
oriented	O
afebrile	O
CRP	O
POSITIVE	O
SGluC	O
565	O
SUrea	O
39	O
WBC	O
121	O
NEU	O
833	O
LYM	O
314	O
MONO	O
360	O
EOS	O
053	O
BASO	O
230	O
RBC	O
506	O
HGB	O
146	O
HCT	O
449	O
MCV	O
888	O
MCH	O
289	O
MCHC	O
325	O
RDW	O
136	O
PLT	O
241	O
MPV	O
131	O
low1	O
chest	B
pain	E


cough	B
spo296	O
on	O
room	O
PR	O
85	O
Conscious	O
oriented	O
afebrile	O
stable	O
well1	O


cough	B
32	O
years	O
Sex	O
male	O
and	O
body	O
temp	O
for	O
10	O
days	O
spo296	O
PR	O
86	O
Conscious	O
oriented	O
good	O
urine	O
output	O
febrile	O
367	O
low1	O
Acute	O
pneumonia	O
covid19	O
shortness	B
of	I
breath	E



cough	B
chest	B
pain	E
fever	B
fatigue	B
Headache	B
dyspnea	B
spo287	O
PR	O
112	O
Conscious	O
oriented	O
myalgia	O
headache	O
PT140	O
CONTROL140	O
INR10	O
BGlucoseR126	O
SUrea38	O
ALT21	O
AST16	O
STBili04	O
TP67	O
Troponin	O
001	O
Acute	O
pneumonia	O
WBC	O
215	O
NEU	O
185	O
LYM	O
214	O
MONO	O
584	O
EOS	O
000	O
BASO	O
279	O
RBC	O
654	O
HGB	O
152	O
HCT	O
518	O
MCV	O
792	O
MCH	O
232	O
MCHC	O
293	O
RDW	O
140	O
PLT	O
135	O
MPV	O
119	O
sever1	O
chest	B
pain	E


cough	B
chest	B
pain	E
dyspnea	B
spo291	O
on	O
room	O
PR	O
80	O
Conscious	O
oriented	O
dry	O
mod1	O


cough	B
dyspnea	B
spo293	O
on	O
room	O
PR	O
78	O
Conscious	O
oriented	O
dry	O
PT106	O
CONTROL140	O
INR08	O
mod1	O
shortness	B
of	I
breath	E



cough	B
spo291	O
on	O
room	O
PR	O
82	O
Conscious	O
oriented	O
dry	O
no	O
dyspnea	O
low1	O
shortness	B
of	I
breath	E


cough	B
dyspnea	B
58	O
years	O
old	O
male	O
with	O
known	O
case	O
of	O
DM	O
HTN	O
With	O
and	O
body	O
temp	O
shivering	O
sweating	O
abdomen	O
pain	O
spo286	O
PR	O
86	O
Conscious	O
oriented	O
good	O
urine	O
output	O
painsoft	O
CTVE	O
sever1	O


cough	B
fever	B
fatigue	B
Headache	B
spo292	O
PR	O
100	O
Conscious	O
oriented	O
dry	O
myalgia	O
headache	O
BP	O
7090	O
mod1	O


cough	B
spo295	O
PR	O
82	O
Conscious	O
oriented	O
dry	O
well1	O


shortness	B
of	I
breath	E
cough	B
dyspnea	B
57	O
years	O
Sex	O
male	O
for	O
5	O
days	O
spo286	O
PR	O
107	O
Conscious	O
oriented	O
afebrile	O
no	O
soft	O
abdomen	O
BP14080	O
Temp	O
37	O
c	O
mod1	O


spo298	O
PR	O
83	O
Conscious	O
oriented	O
afebrile	O
BP13090	O
well1	O


Nausea	B
spo299	O
PR	O
110	O
Conscious	O
oriented	O
afebrile	O
nausea	O
good	O
urine	O
output	O
WBC	O
552	O
NEU	O
361	O
LYM	O
130	O
MONO	O
430	O
EOS	O
087	O
BASO	O
094	O
RBC	O
378	O
HGB	O
113	O
HCT	O
340	O
MCV	O
900	O
MCH	O
299	O
MCHC	O
332	O
RDW	O
186	O
PLT	O
441	O
MPV	O
624	O
CRP	O
positive	O
well1	O


spo290	O
on	O
room	O
PR	O
85	O
Conscious	O
oriented	O
afebrile	O
poor	O
appetite	O
BP	O
11080	O
Temp	O
36	O
ALK105	O
SALT15	O
AST19	O
STBili03	O
SUrea27	O
screatinine	O
061	O
SNa134	O
SK42	O
SC1	O
104	O
Sferritin	O
1807	O
Troponin	O
0080	O
Negative	O
result	O
WBC	O
684	O
NEU	O
456	O
LYM	O
148	O
MONO	O
638	O
EOS	O
099	O
BASO	O
064	O
RBC	O
386	O
HGB	O
113	O
HCT	O
345	O
MCV	O
893	O
MCH	O
292	O
MCHC	O
326	O
RDW	O
212	O
PLT	O
544	O
MPV	O
579	O
low1	O


spo294	O
PR	O
61	O
Conscious	O
oriented	O
good	O
urine	O
output	O
no	O
cough	O
afebrile	O
dyspnea	O
appetite	O
well1	O
chest	B
pain	E
shortness	B
of	I
breath	E


spo293	O
PR	O
79	O
Conscious	O
oriented	O
good	O
urine	O
output	O
no	O
cough	O
afebrile	O
dyspnea	O
well1	O
chest	B
pain	E
shortness	B
of	I
breath	E


shortness	B
of	I
breath	E
cough	B
fever	B
38	O
years	O
Sex	O
male	O
CRP	O
148	O
and	O
sweating	O
febrile	O
for	O
6	O
days	O
admitted	O
to	O
hospital	O
follow	O
up	O
Pneumonic	O
WBC	O
854	O
NEU	O
731	O
LYM	O
079	O
MONO	O
042	O
EOS	O
001	O
BASO	O
NEUper	O
856	O
LYMper	O
92	O
49	O
Eosper	O
02	O
01	O
RBC	O
480	O
HGB	O
143	O
HCT	O
402	O
MCV	O
837	O
MCH	O
298	O
MCHC	O
356	O
RDWCV	O
135	O
RDWSD	O
443	O
PLT	O
241	O
MPV	O
77	O
PDW	O
156	O
PCT186	O
mod1	O
chest	B
pain	E


cough	B
Headache	B
dyspnea	B
spo289	O
PR	O
130	O
Conscious	O
oriented	O
dry	O
febrile	O
Pneumonic	O
good	O
urine	O
output	O
headache	O
CRP	O
negative	O
mod1	O
shortness	B
of	I
breath	E



cough	B
fever	B
dyspnea	B
spo298	O
PR	O
109	O
Conscious	O
oriented	O
temp381	O
soft	O
abdominal	O
SUrea	O
40	O
ALT30	O
AST19	O
STBili10	O
sNa142	O
SK34	O
SCI130	O
Pneumonic	O
WBC	O
985	O
NEU	O
829	O
LYM	O
119	O
MONO	O
229	O
EOS	O
000	O
BASO	O
146	O
RBC	O
512	O
HGB	O
148	O
HCT	O
415	O
MCV	O
811	O
MCH	O
290	O
MCHC	O
358	O
RDW	O
197	O
mod1	O
shortness	B
of	I
breath	E



cough	B
spo292	O
with	O
o2	O
PR	O
132	O
Conscious	O
oriented	O
afebrile	O
Pneumonic	O
Troponin	O
038	O
negative	O
LDH	O
342	O
SSferritin	O
410	O
mod1	O
shortness	B
of	I
breath	E


CRP	O
positive	O
BGlucoseR216	O
ALT30	O
AST19	O
STBiti105	O
SUrea	O
27	O
SNa	O
142	O
SK	O
34	O
SCI	O
103	O
WBC	O
752	O
NEU	O
7602	O
LYM	O
756	O
MONO	O
450	O
EOS	O
001	O
BASO	O
295	O
RBC	O
485	O
HGB	O
136	O
HCT	O
429	O
MCV	O
885	O
MCH	O
279	O
MCHC	O
316	O
RDW	O
129	O
PLT	O
302	O
MPV	O
875	O
mod1	O
chest	B
pain	E
shortness	B
of	I
breath	E


cough	B
dyspnea	B
spo292	O
PR	O
82	O
Conscious	O
oriented	O
no	O
myalgia	O
temp368	O
ALT9	O
AST10	O
STBiti06	O
CRPNegative	O
WBC	O
100	O
NEU	O
761	O
LYM	O
210	O
MONO	O
156	O
EOS	O
033	O
BASO	O
112	O
RBC	O
522	O
HGB	O
146	O
HCT	O
473	O
MCV	O
906	O
MCH	O
280	O
MCHC	O
310	O
RDW	O
184	O
PLT	O
381	O
MPV	O
912	O
SGluC	O
176	O
SUrea	O
24	O
SCI	O
101	O
SK	O
30	O
SNa	O
138	O
mod1	O


cough	B
dyspnea	B
spo296	O
PR	O
88	O
Conscious	O
oriented	O
on	O
exertion	O
SUrea23	O
ALT9	O
AST10	O
STBiti06	O
SGluC	O
176	O
SCI	O
103	O
SK	O
31	O
SNa	O
141	O
low1	O
shortness	B
of	I
breath	E



spo295	O
PR	O
99	O
Conscious	O
oriented	O
afebrile	O
no	O
cough	O
dyspnea	O
good	O
urine	O
output	O
appetite	O
well1	O
shortness	B
of	I
breath	E



fever	B
fatigue	B
Headache	B
40	O
years	O
old	O
male	O
with	O
coughdry	O
for	O
3	O
days	O
7	O
and	O
headache	O
spo296	O
PR	O
74	O
Conscious	O
oriented	O
no	O
dyspnea	O
soft	O
abdomen	O
SGlucoseR105	O
SUrea17	O
low1	O
shortness	B
of	I
breath	E


fatigue	B
Headache	B
spo299	O
PR	O
86	O
Conscious	O
oriented	O
no	O
dyspnea	O
headache	O
afebrile	O
temp366	O
c	O
WBC	O
714	O
NEU	O
419	O
LYM	O
220	O
MONO	O
214	O
EOS	O
519	O
BASO	O
016	O
RBC	O
465	O
HGB	O
146	O
HCT	O
433	O
MCV	O
932	O
MCH	O
314	O
MCHC	O
336	O
RDW	O
162	O
PLT	O
198	O
MPV	O
633	O
SGluC	O
104	O
SCI	O
105	O
SK	O
35	O
SNa	O
140	O
SUrea15	O
low1	O
shortness	B
of	I
breath	E



cough	B
spo293	O
PR	O
106	O
Conscious	O
oriented	O
no	O
dyspnea	O
good	O
urine	O
out	O
put	O
afebrile	O
low1	O


spo298	O
PR	O
87	O
Conscious	O
oriented	O
afebrile	O
good	O
urine	O
output	O
mild	O
symptoms	O
stable	O
normal	O
ECG	O
well1	O
shortness	B
of	I
breath	E
